Campaign,Ad group,Keyword,Match type,Final URL
"KX Search - 9-City IE","AG1 Block Walls","concrete block wall contractor corona","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","retaining wall contractor riverside","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","block wall builder temecula","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","masonry contractor murrieta","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","block wall installation perris","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","perimeter block wall contractor","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","concrete block wall cost","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","block wall contractor","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","retaining wall contractor","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","masonry contractor","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","concrete block wall","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","block wall builder","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","block wall repair","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","block wall corona","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","retaining wall riverside","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG1 Block Walls","masonry temecula","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls"
"KX Search - 9-City IE","AG2 Landscaping","artificial turf installation corona","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
"KX Search - 9-City IE","AG2 Landscaping","paver patio contractor riverside","Exact","https://kustomxworks.com/book?service=Landscaping%20%26%20Hardscaping"
