Campaign,Ad Group,Keyword,Criterion Type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Extension Type,Sitelink Text,Sitelink Final URL,Callout Text,Snippet Header,Snippet Values,Phone Number
"KX Search - 9-City IE","AG1 Block Walls","concrete block wall contractor corona","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","retaining wall contractor riverside","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","block wall builder temecula","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","masonry contractor murrieta","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","block wall installation perris","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","perimeter block wall contractor","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","concrete block wall cost","Exact","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","block wall contractor","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","retaining wall contractor","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","masonry contractor","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KX Search - 9-City IE","AG1 Block Walls","concrete block wall","Phrase","https://kustomxworks.com/book?service=Concrete%20Block%20Walls","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
