Campaign,Criterion Type,Keyword
"KX Search - 9-City IE","Negative Exact","jobs"
"KX Search - 9-City IE","Negative Exact","hiring"
"KX Search - 9-City IE","Negative Exact","careers"
"KX Search - 9-City IE","Negative Exact","salary"
"KX Search - 9-City IE","Negative Phrase","diy"
"KX Search - 9-City IE","Negative Phrase","how"
"KX Search - 9-City IE","Negative Phrase","to"
"KX Search - 9-City IE","Negative Phrase","tutorial"
"KX Search - 9-City IE","Negative Phrase","course"
"KX Search - 9-City IE","Negative Phrase","training"
"KX Search - 9-City IE","Negative Phrase","free"
"KX Search - 9-City IE","Negative Phrase","plans"
"KX Search - 9-City IE","Negative Phrase","blueprint"
"KX Search - 9-City IE","Negative Phrase","template"
"KX Search - 9-City IE","Negative Phrase","for sale"
"KX Search - 9-City IE","Negative Phrase","for rent"
"KX Search - 9-City IE","Negative Phrase","clipart"
"KX Search - 9-City IE","Negative Phrase","images"
"KX Search - 9-City IE","Negative Phrase","videos"
"KX Search - 9-City IE","Negative Phrase","youtube"
"KX Search - 9-City IE","Negative Phrase","kustom xworks"
